Subclass	Superfamily	Family
Unknown	Unknown	XDMR_DM
Unknown	Unknown	XDMR
rRNA	Unknown	5S_DM
Unknown	Unknown	ALA_DM
Unknown	Unknown	ARS406_DM
LINE	R1-LOA	Baggins1
DNA	TcMar-Tc1	BARI1
DNA	TcMar-Tc1	BARI_DM
LINE	I-Jockey	BS
LINE	I-Jockey	BS2
LINE	I-Jockey	BS3_DM
LINE	I-Jockey	BS4_DM
LTR	Gypsy	CIRCE
LTR	Gypsy	DM412
LTR	Gypsy	DM412B_LTR
LINE	CR1	DMCR1A
LTR	Gypsy	DMLTR5
Unknown	Unknown	DMRP1
Unknown	Unknown	DMRPR
LINE	R1	DMRT1A
LINE	R1	DMRT1B
LINE	R1	DMRT1C
Satellite	Unknown	DMSAT6
RC	Helitron	DNAREP1_DM
LINE	I-Jockey	DOC
LINE	I-Jockey	DOC2_DM
LINE	I-Jockey	DOC3_DM
LINE	I-Jockey	DOC4_DM
LINE	I-Jockey	DOC5_DM
LINE	I-Jockey	DOC6_DM
DNA	TcMar-Tc1	FB4_DM
Unknown	Unknown	FTZ_DM
Unknown	Unknown	FUSHI_DM
LINE	I-Jockey	FW2_DM
LINE	I-Jockey	FW3_DM
LINE	I-Jockey	G2_DM
LINE	I-Jockey	G3_DM
LINE	I-Jockey	G4_DM
LINE	I-Jockey	G5A_DM
LINE	I-Jockey	G5_DM
LINE	I-Jockey	G6_DM
LINE	I-Jockey	G7_DM
LINE	I-Jockey	G_DM
LTR	Gypsy	Gypsy12A_LTR
LTR	Gypsy	Gypsy6A_LTR
LINE	I-Jockey	HELENA_RT
RC	Helitron	Helitron1_DM
LINE	I-Jockey	HETA
Satellite	Unknown	HETRP_DM
LTR	Gypsy	HMSBEAGLE_I
DNA	hAT-hobo	HOBO
LINE	I	I_DM
LINE	I	IVK_DM
LINE	I-Jockey	Jockey2
LINE	I-Jockey	LINEJ1_DM
DNA	PiggyBac	LOOPER1_DM
DNA	CMC-Transib	M4DM
DNA	TcMar-Tc1	Mariner2_DM
DNA	TcMar-Tc1	MINOS
DNA	MULE-NOF	NOF_FB
Satellite	Unknown	NTS_DM
DNA	P	PLACW_DM
DNA	TcMar-Pogo	POGO
DNA	TcMar-Pogo	POGON1
DNA	P	PROTOP
DNA	P	PROTOP_A
DNA	P	PROTOP_B
LINE	R1	R1-2_DM
LINE	R1	R1_DM
LINE	R2	R2_DM
Satellite	Unknown	RSP
Satellite	Unknown	SAR2_DM
Satellite	Unknown	SAR_DM
DNA	TcMar-Tc1	S_DM
LTR	Gypsy	Stalker3_LTR
LINE	I-Jockey	TAHRE
LINE	I-Jockey	TART-A
LINE	I-Jockey	TART_B1
DNA	TcMar-Tc1	TC1-2_DM
DNA	TcMar-Tc1	TC1_DM
LTR	Gypsy	TLD2
DNA	CMC-Transib	TRANSIB1
DNA	CMC-Transib	TRANSIB2
DNA	CMC-Transib	TRANSIB3
DNA	CMC-Transib	TRANSIB4
DNA	CMC-Transib	Transib5
DNA	CMC-Transib	Transib-N1_DM
DNA	TcMar-Tc1	S2_DM
LTR	Gypsy	ZAM
LTR	Gypsy	ACCORD2
LTR	Gypsy	ACCORD
LTR	Pao	BATUMI
LTR	Pao	BEL
LTR	Gypsy	Bica
LTR	Gypsy	BLASTOPIA
LTR	Gypsy	BLOOD
LTR	Gypsy	BURDOCK
LTR	Gypsy	Chimpo
LTR	Gypsy	Chouto
LTR	Copia	Copia1
LTR	Copia	Copia2
LTR	Copia	Copia
LTR	Pao	DIVER2
LTR	Pao	DIVER
LTR	Copia	DM1731
LTR	Gypsy	DM176
LTR	Gypsy	DM297
LTR	Gypsy	TOM
LTR	Copia	FROGGER
LTR	Gypsy	GTWIN
LTR	Gypsy	Gypsy10
LTR	Gypsy	Gypsy11
LTR	Gypsy	Gypsy12
LTR	Gypsy	Gypsy1
LTR	Gypsy	Gypsy2_bis
LTR	Gypsy	Gypsy2
LTR	Gypsy	Gypsy3
LTR	Gypsy	Gypsy4
LTR	Gypsy	Gypsy5
LTR	Gypsy	Gypsy6
LTR	Gypsy	Gypsy7
LTR	Gypsy	Gypsy8
LTR	Gypsy	Gypsy9
LTR	Gypsy	Gypsy
LTR	Gypsy	IDEFIX
LTR	Gypsy	Invader1
LTR	Gypsy	Invader2
LTR	Gypsy	Invader3
LTR	Gypsy	Invader4
LTR	Gypsy	Invader5
LTR	Gypsy	Invader6
LTR	Pao	MAX
LTR	Gypsy	MDG1
LTR	Gypsy	MDG3
LTR	Gypsy	MICROPIA
LTR	Pao	NINJA
LTR	Gypsy	NOMAD
LTR	Gypsy	QUASIMODO2
LTR	Gypsy	QUASIMODO
LTR	Pao	ROOA
LTR	Pao	ROO
LTR	Gypsy	ROVER
LTR	Gypsy	Stalker2
LTR	Gypsy	STALKER4
LTR	Gypsy	TABOR
LTR	Gypsy	TIRANT
LTR	Gypsy	TRANSPAC
